"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"13.25","high","4 yr.","mnwk","no","no","4","Female","LPM","weekdayTuesday",3.53056054565402e-07,3.59135646170266e-07,0.983071600745581,0.325572201279272,NA,NA,249294627
"13.26","high","4 yr.","mnwk","no","no","4","Female","LPM","weekdayWednesday",1.26098291691504e-07,3.5028904913075e-07,0.359983539321084,0.718859443550278,NA,NA,249294627
"13.27","high","4 yr.","mnwk","no","no","4","Female","LPM","weekdayThursday",2.36720341454419e-07,3.55757766141197e-07,0.665397537268286,0.505796260319542,NA,NA,249294627
"13.28","high","4 yr.","mnwk","no","no","4","Female","LPM","weekdayFriday",5.81280203493886e-07,3.69393925577838e-07,1.57360520367138,0.115578750758959,NA,NA,249294627
"13.29","high","4 yr.","mnwk","no","no","4","Female","LPM","weekdaySaturday",9.08498375325959e-08,3.49204696636126e-07,0.260162129569701,0.794738715090374,NA,NA,249294627
"14","high","4 yr.","mnwk","no","no","5","Female","LPM","(Intercept)",-1.28597089908518e-05,1.33745566004906e-06,-9.61505444627606,6.90734030174055e-22,NA,NA,249294627
"14.1","high","4 yr.","mnwk","no","no","5","Female","LPM","policyTRUE",-1.63872859257727e-05,4.68924066125375e-07,-34.9465662131132,1.46234923595978e-267,NA,NA,249294627
"14.2","high","4 yr.","mnwk","no","no","5","Female","LPM","age_grp16-19",6.16501485904261e-05,5.1976468029792e-06,11.8611654326126,1.88339031971153e-32,NA,NA,249294627
"14.3","high","4 yr.","mnwk","no","no","5","Female","LPM","age_grp20-24",4.22776798138002e-05,1.49063558354883e-06,28.362183407126,5.92630449701379e-177,NA,NA,249294627
"14.4","high","4 yr.","mnwk","no","no","5","Female","LPM","age_grp25-34",2.85812361446779e-05,1.03643955173236e-06,27.5763657387502,2.13882615744843e-167,NA,NA,249294627
"14.5","high","4 yr.","mnwk","no","no","5","Female","LPM","age_grp35-44",2.41914846289603e-05,9.85916081417458e-07,24.5370626211716,5.94666678113355e-133,NA,NA,249294627
"14.6","high","4 yr.","mnwk","no","no","5","Female","LPM","age_grp45-54",2.18153218670613e-05,9.94815526157792e-07,21.9290122574958,1.37409143963669e-106,NA,NA,249294627
