"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"2.36","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE:age_grp65-199",-2.80820287213363e-06,7.42700459459375e-06,-0.378107060035721,0.7053510638427,NA,NA,5335033221
"3","all","4 yr.","mnwk","no","no","1","Male","LPM","(Intercept)",-1.96205843216594e-05,8.83793058326487e-07,-22.200428184865,3.40198489241715e-109,NA,NA,5335033221
"3.1","all","4 yr.","mnwk","no","no","1","Male","LPM","policyTRUE",3.93047278707971e-06,1.77018669420137e-07,22.2037189633999,3.16182479825291e-109,NA,NA,5335033221
"3.2","all","4 yr.","mnwk","no","no","1","Male","LPM","age_grp16-19",4.78595249923968e-05,1.11284045033194e-06,43.00663673586,0,NA,NA,5335033221
"3.3","all","4 yr.","mnwk","no","no","1","Male","LPM","age_grp20-24",2.47054047548046e-05,9.07374453235137e-07,27.2273532351726,3.08223819392753e-163,NA,NA,5335033221
"3.4","all","4 yr.","mnwk","no","no","1","Male","LPM","age_grp25-34",2.46790459959297e-05,8.45647239189132e-07,29.1836180055336,3.13020005645108e-187,NA,NA,5335033221
"3.5","all","4 yr.","mnwk","no","no","1","Male","LPM","age_grp35-44",2.5870759375606e-05,8.40651386956762e-07,30.7746585290968,5.72247633961463e-208,NA,NA,5335033221
"3.6","all","4 yr.","mnwk","no","no","1","Male","LPM","age_grp45-54",2.38716697089703e-05,8.36027946870728e-07,28.5536743099588,2.52895154773266e-179,NA,NA,5335033221
"3.7","all","4 yr.","mnwk","no","no","1","Male","LPM","age_grp55-64",1.93531865708374e-05,8.38152708034156e-07,23.0902869910536,5.79680778155635e-118,NA,NA,5335033221
"3.8","all","4 yr.","mnwk","no","no","1","Male","LPM","age_grp65-199",1.00562625944794e-05,8.32168811450134e-07,12.0844021743081,1.27695700031294e-33,NA,NA,5335033221
"3.9","all","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp1-3",5.00923286425399e-05,3.21599562567637e-07,155.759940226924,0,NA,NA,5335033221
"3.10","all","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp4-6",9.05485143292198e-05,6.79050535078281e-07,133.345766848974,0,NA,NA,5335033221
"3.11","all","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp7-9",0.000132721539954591,1.2680674136185e-06,104.664419674553,0,NA,NA,5335033221
"3.12","all","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp10-150",0.000199767518425631,1.78685042017559e-06,111.798680051798,0,NA,NA,5335033221
"3.13","all","4 yr.","mnwk","no","no","1","Male","LPM","month02",8.59110223562551e-06,4.34967892847229e-07,19.751118132857,7.84618851704468e-87,NA,NA,5335033221
"3.14","all","4 yr.","mnwk","no","no","1","Male","LPM","month03",9.50875656511657e-06,4.25913566698184e-07,22.3255545458001,2.08685756424435e-110,NA,NA,5335033221
"3.15","all","4 yr.","mnwk","no","no","1","Male","LPM","month04",6.68389935593551e-06,4.23532666190056e-07,15.7813077703342,4.18429149379065e-56,NA,NA,5335033221
"3.16","all","4 yr.","mnwk","no","no","1","Male","LPM","month05",9.98716927823989e-06,4.28572793896597e-07,23.3033207438023,4.10262040692054e-120,NA,NA,5335033221
"3.17","all","4 yr.","mnwk","no","no","1","Male","LPM","month06",7.9679140454238e-06,4.26605431240005e-07,18.6774791456912,7.55019375090203e-78,NA,NA,5335033221
"3.18","all","4 yr.","mnwk","no","no","1","Male","LPM","month07",5.0584768653786e-06,4.15236290400542e-07,12.1821646670119,3.86875789135708e-34,NA,NA,5335033221
"3.19","all","4 yr.","mnwk","no","no","1","Male","LPM","month08",1.61613822450445e-06,4.05268730782953e-07,3.98781870336302,6.66835913260171e-05,NA,NA,5335033221
"3.20","all","4 yr.","mnwk","no","no","1","Male","LPM","month09",1.70080354070844e-05,4.49768218839456e-07,37.8151116389915,6.41537647640951e-313,NA,NA,5335033221
"3.21","all","4 yr.","mnwk","no","no","1","Male","LPM","month10",9.83914399965006e-06,4.27718500011433e-07,23.003784029419,4.27206896940221e-117,NA,NA,5335033221
"3.22","all","4 yr.","mnwk","no","no","1","Male","LPM","month11",7.19728298081411e-06,4.2377226133044e-07,16.983846366485,1.08159834739219e-64,NA,NA,5335033221
"3.23","all","4 yr.","mnwk","no","no","1","Male","LPM","month12",-1.53146955870863e-05,3.56566967598047e-07,-42.9504047731936,0,NA,NA,5335033221
"3.24","all","4 yr.","mnwk","no","no","1","Male","LPM","weekdayMonday",1.72364632146368e-05,3.0676395346485e-07,56.1880332416952,0,NA,NA,5335033221
"3.25","all","4 yr.","mnwk","no","no","1","Male","LPM","weekdayTuesday",2.27020852666182e-05,3.18230617711367e-07,71.3384696604174,0,NA,NA,5335033221
"3.26","all","4 yr.","mnwk","no","no","1","Male","LPM","weekdayWednesday",2.352483686591e-05,3.19822525697148e-07,73.5559098429064,0,NA,NA,5335033221
"3.27","all","4 yr.","mnwk","no","no","1","Male","LPM","weekdayThursday",2.11934345304661e-05,3.15635747693088e-07,67.1452289082091,0,NA,NA,5335033221
"3.28","all","4 yr.","mnwk","no","no","1","Male","LPM","weekdayFriday",1.57017476479098e-05,3.04121644823707e-07,51.6298261408254,0,NA,NA,5335033221
"3.29","all","4 yr.","mnwk","no","no","1","Male","LPM","weekdaySaturday",2.60424174763519e-06,2.73755371162631e-07,9.51302521143258,1.85196923192634e-21,NA,NA,5335033221
"5","all","4 yr.","mnwk","no","no","2","Male","LPM","(Intercept)",-9.65067611183737e-05,1.57209786966608e-06,-61.3872475629474,0,NA,NA,5335033221
"5.1","all","4 yr.","mnwk","no","no","2","Male","LPM","policyTRUE",-4.3154198842294e-06,3.94194991033457e-07,-10.9474244533542,6.83639052401452e-28,NA,NA,5335033221
"5.2","all","4 yr.","mnwk","no","no","2","Male","LPM","age_grp16-19",0.000189395009837119,2.04313417209724e-06,92.6982732821254,0,NA,NA,5335033221
"5.3","all","4 yr.","mnwk","no","no","2","Male","LPM","age_grp20-24",0.000176527313817203,1.6459570093468e-06,107.24904284545,0,NA,NA,5335033221
