"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"57.9","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp4-6",1.89794078269779,0.0521837335105368,36.3703525029416,1.25297588527046e-289,NA,NA,5454392801
"57.10","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp7-9",2.26775761046549,0.0773737066357823,29.3091504733048,7.92942068650768e-189,NA,NA,5454392801
"57.11","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp10-150",3.07170643057176,0.0751372620943508,40.8812664309564,0,NA,NA,5454392801
"57.12","all","4 yr.","mnwk","no","4","Female","Logit","month02",0.0908121992482662,0.0787509853821443,1.15315635490266,0.248846214076207,NA,NA,5454392801
"57.13","all","4 yr.","mnwk","no","4","Female","Logit","month03",0.165181973523857,0.0756137406331175,2.18454968820191,0.0289218802938248,NA,NA,5454392801
"57.14","all","4 yr.","mnwk","no","4","Female","Logit","month04",0.276927273825547,0.075402894208411,3.67263454185366,0.000240062686495894,NA,NA,5454392801
"57.15","all","4 yr.","mnwk","no","4","Female","Logit","month05",0.331917695934239,0.073781054991438,4.49868460098269,6.83752093106582e-06,NA,NA,5454392801
"57.16","all","4 yr.","mnwk","no","4","Female","Logit","month06",0.290038114919296,0.0749238363742116,3.87110603187326,0.000108342649402151,NA,NA,5454392801
"57.17","all","4 yr.","mnwk","no","4","Female","Logit","month07",0.24263824839916,0.0750898351799395,3.23130617902837,0.00123225864371099,NA,NA,5454392801
"57.18","all","4 yr.","mnwk","no","4","Female","Logit","month08",0.262295157313001,0.0746284203998877,3.5146818853665,0.000440281052462314,NA,NA,5454392801
"57.19","all","4 yr.","mnwk","no","4","Female","Logit","month09",0.398904904843456,0.0728958994077307,5.47225438034929,4.44346381443193e-08,NA,NA,5454392801
"57.20","all","4 yr.","mnwk","no","4","Female","Logit","month10",0.41424546700144,0.0720665181403515,5.74809880775267,9.02524955414814e-09,NA,NA,5454392801
"57.21","all","4 yr.","mnwk","no","4","Female","Logit","month11",0.300204540565382,0.0742291702735397,4.04429336147915,5.2481172330702e-05,NA,NA,5454392801
"57.22","all","4 yr.","mnwk","no","4","Female","Logit","month12",-0.0841146091175929,0.0806677669048758,-1.04272886612545,0.297073884719296,NA,NA,5454392801
"57.23","all","4 yr.","mnwk","no","4","Female","Logit","weekdayMonday",-0.0338858371326232,0.0577460168330518,-0.586808216237489,0.557332518065648,NA,NA,5454392801
"57.24","all","4 yr.","mnwk","no","4","Female","Logit","weekdayTuesday",0.0916391775645691,0.0559886175560863,1.63674656679583,0.101683434595843,NA,NA,5454392801
"57.25","all","4 yr.","mnwk","no","4","Female","Logit","weekdayWednesday",0.0656817260726386,0.0563331905256731,1.16595075584624,0.243634356032128,NA,NA,5454392801
"57.26","all","4 yr.","mnwk","no","4","Female","Logit","weekdayThursday",0.136744475294965,0.0554475732079859,2.46619405293052,0.0136557331105049,NA,NA,5454392801
"57.27","all","4 yr.","mnwk","no","4","Female","Logit","weekdayFriday",0.220457323338577,0.0543997649080046,4.05254183931479,5.06641597762402e-05,NA,NA,5454392801
