"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"3.13","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy12",-0.0589927393318228,0.00472055912120034,-12.496981356908,7.75400638816017e-36,-2.37926953541703,-11.6513076010746,6928125511
"3.14","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","age_grp20-24",-0.00441150342385981,0.00315796972694857,-1.39694291120469,0.162430739200385,-0.33481294066253,-1.02743586932177,6928125511
"3.15","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","age_grp25-34",-0.192681060281102,0.00293846216228624,-65.5720746566251,0,-11.4140749772317,-40.9232208937771,6928125511
"3.16","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","age_grp35-44",-0.269522841660052,0.00295790986911484,-91.1193557566737,0,-14.0752592955542,-55.1752734633266,6928125511
"3.17","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","age_grp45-54",-0.36943791231876,0.0029717387389645,-124.317090016968,0,-17.1912340537396,-72.1474822358702,6928125511
"3.18","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","age_grp55-64",-0.510017689428619,0.00316252651594219,-161.269063471132,0,-20.5487974872409,-93.3384286695304,6928125511
"3.19","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","age_grp65-199",-0.82366819026576,0.00353861238124309,-232.765870212778,0,-25.3321354087789,-131.15798456532,6928125511
"3.20","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","curr_pts_grp1-3",1.46835072498545,0.00147005324242488,998.84186681795,0,NA,NA,6928125511
"3.21","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","curr_pts_grp4-6",1.92407277669263,0.00182656720151233,1053.38187124983,0,NA,NA,6928125511
"3.22","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","curr_pts_grp7-9",2.17440043733567,0.00240370047375049,904.605403660365,0,NA,NA,6928125511
"3.23","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","curr_pts_grp10-150",2.41433756383488,0.00249302648957986,968.436386025626,0,NA,NA,6928125511
"3.24","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","month02",0.132082414324674,0.0033777457207954,39.1037174620627,0,NA,NA,6928125511
"3.25","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","month03",0.139521556349288,0.00329880815781551,42.2945347757596,0,NA,NA,6928125511
