"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"53.23","all","4 yr.","mnwk","no","2","Female","Logit","weekdayMonday",0.715495928101958,0.00607849990448517,117.709293303437,0,NA,NA,3642166888
"53.24","all","4 yr.","mnwk","no","2","Female","Logit","weekdayTuesday",0.856724096888531,0.00594638114141781,144.074871171857,0,NA,NA,3642166888
"53.25","all","4 yr.","mnwk","no","2","Female","Logit","weekdayWednesday",0.891326669896551,0.00591712840329086,150.635005554524,0,NA,NA,3642166888
"53.26","all","4 yr.","mnwk","no","2","Female","Logit","weekdayThursday",0.829971389341309,0.00597418747023071,138.926237831847,0,NA,NA,3642166888
"53.27","all","4 yr.","mnwk","no","2","Female","Logit","weekdayFriday",0.65993674044322,0.00613981020769078,107.484876261579,0,NA,NA,3642166888
"53.28","all","4 yr.","mnwk","no","2","Female","Logit","weekdaySaturday",0.1553007658158,0.0067883654993626,22.8774902928226,7.78534637960224e-116,NA,NA,3642166888
"55","all","4 yr.","mnwk","no","3","Female","Logit","(Intercept)",-9.63734552474523,0.0101184353814624,-952.4541257042,0,NA,NA,3642166888
"55.1","all","4 yr.","mnwk","no","3","Female","Logit","policyTRUE",-0.109168753079693,0.00286581967312617,-38.0933783459607,0,-1.47292128825229,-7.73772021968228,3642166888
"55.2","all","4 yr.","mnwk","no","3","Female","Logit","age_grp20-24",0.180053128630618,0.00840291214520304,21.4274677063481,7.41023441969474e-102,3.85952337377726,12.3286009511961,3642166888
"55.3","all","4 yr.","mnwk","no","3","Female","Logit","age_grp25-34",0.0102748911153865,0.00782778395339438,1.31261812750094,0.189311658147836,0.195443649945328,0.645490232945966,3642166888
"55.4","all","4 yr.","mnwk","no","3","Female","Logit","age_grp35-44",-0.028303372800731,0.00780296624223318,-3.62725813775027,0.000286446883899859,-0.519372668617886,-1.74420065569112,3642166888
"55.5","all","4 yr.","mnwk","no","3","Female","Logit","age_grp45-54",-0.280389212909546,0.0078897471564768,-35.5384282092451,1.25401412868025e-276,-4.17624780311361,-15.2843108443396,3642166888
"55.6","all","4 yr.","mnwk","no","3","Female","Logit","age_grp55-64",-0.559488162815223,0.00842824733140081,-66.382504074217,0,-6.7416373387338,-26.7884679425367,3642166888
"55.7","all","4 yr.","mnwk","no","3","Female","Logit","age_grp65-199",-0.90900645927144,0.00952665389961467,-95.417180979799,0,-8.69752995557882,-37.3313537315649,3642166888
"55.8","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp1-3",0.99798316967425,0.00343004004666761,290.953795319044,0,NA,NA,3642166888
"55.9","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp4-6",1.57026615033564,0.00496128877319236,316.503679209394,0,NA,NA,3642166888
"55.10","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp7-9",1.89190620403798,0.00770811552384596,245.443415862819,0,NA,NA,3642166888
"55.11","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp10-150",2.15361975372966,0.0102622700398384,209.858028035635,0,NA,NA,3642166888
"55.12","all","4 yr.","mnwk","no","3","Female","Logit","month02",0.180983606687475,0.00719313802689165,25.1605913873562,1.08220941446374e-139,NA,NA,3642166888
"55.13","all","4 yr.","mnwk","no","3","Female","Logit","month03",0.187134797832783,0.00703164716074328,26.6132235527304,4.77232710235914e-156,NA,NA,3642166888
"55.14","all","4 yr.","mnwk","no","3","Female","Logit","month04",0.206537319163376,0.00710892358289538,29.0532479010353,1.40008444585937e-185,NA,NA,3642166888
"55.15","all","4 yr.","mnwk","no","3","Female","Logit","month05",0.219464848889585,0.00702129103268306,31.25705057204,1.79059401250688e-214,NA,NA,3642166888
"55.16","all","4 yr.","mnwk","no","3","Female","Logit","month06",0.187997447454663,0.00712899044680902,26.3708373376782,2.96093569761736e-153,NA,NA,3642166888
"55.17","all","4 yr.","mnwk","no","3","Female","Logit","month07",0.132511505510983,0.00715442930496513,18.521603871188,1.38256272255661e-76,NA,NA,3642166888
"55.18","all","4 yr.","mnwk","no","3","Female","Logit","month08",0.0214129227044214,0.00735192752813266,2.91255900204176,0.0035848046993413,NA,NA,3642166888
"55.19","all","4 yr.","mnwk","no","3","Female","Logit","month09",0.238447009978779,0.00703257306417354,33.9060835632855,5.41914665840137e-252,NA,NA,3642166888
"55.20","all","4 yr.","mnwk","no","3","Female","Logit","month10",0.264645873958832,0.00692050840151825,38.2408139119914,0,NA,NA,3642166888
"55.21","all","4 yr.","mnwk","no","3","Female","Logit","month11",0.276401329861945,0.00696117760908898,39.7061166060548,0,NA,NA,3642166888
"55.22","all","4 yr.","mnwk","no","3","Female","Logit","month12",-0.530957344183854,0.0085626014402139,-62.0088822177609,0,NA,NA,3642166888
"55.23","all","4 yr.","mnwk","no","3","Female","Logit","weekdayMonday",0.558065114078806,0.00616523017473119,90.5181312396236,0,NA,NA,3642166888
"55.24","all","4 yr.","mnwk","no","3","Female","Logit","weekdayTuesday",0.709706953614208,0.0060066222330107,118.154084955411,0,NA,NA,3642166888
"55.25","all","4 yr.","mnwk","no","3","Female","Logit","weekdayWednesday",0.774681356225915,0.00594410495230167,130.32767127134,0,NA,NA,3642166888
"55.26","all","4 yr.","mnwk","no","3","Female","Logit","weekdayThursday",0.711797172904366,0.00600695646450919,118.495477220431,0,NA,NA,3642166888
"55.27","all","4 yr.","mnwk","no","3","Female","Logit","weekdayFriday",0.566318196444072,0.00616027478734862,91.9306712757557,0,NA,NA,3642166888
"55.28","all","4 yr.","mnwk","no","3","Female","Logit","weekdaySaturday",0.119986122286739,0.00675583705701414,17.7603635603031,1.4330334964993e-70,NA,NA,3642166888
"57","all","4 yr.","mnwk","no","4","Female","Logit","(Intercept)",-12.2711557860804,0.0752505542096917,-163.070636687749,0,NA,NA,3642166888
"57.1","all","4 yr.","mnwk","no","4","Female","Logit","policyTRUE",-0.0346460169672127,0.0295686905906953,-1.17171292590532,0.241312331686638,-0.00446259817752137,-0.0388595001919883,3642166888
"57.2","all","4 yr.","mnwk","no","4","Female","Logit","age_grp20-24",-0.711733854485525,0.0442648112871016,-16.0789989562865,3.58118969795077e-58,-0.47311659085537,-1.18396000640894,3642166888
"57.3","all","4 yr.","mnwk","no","4","Female","Logit","age_grp25-34",-1.62803996424293,0.0444454938004433,-36.6300343416748,9.51534378195045e-294,-0.716788491204589,-1.86866574932561,3642166888
"57.4","all","4 yr.","mnwk","no","4","Female","Logit","age_grp35-44",-2.11006844317568,0.0492734713266951,-42.8236206291496,0,-0.768632417661474,-2.04324928497553,3642166888
"57.5","all","4 yr.","mnwk","no","4","Female","Logit","age_grp45-54",-2.68457583802688,0.0571028552279878,-47.0129878323683,0,-0.755588263835001,-2.16643589236133,3642166888
"57.6","all","4 yr.","mnwk","no","4","Female","Logit","age_grp55-64",-3.24866797459794,0.0809598204881627,-40.126916722511,0,-0.728794764241159,-2.2348525038349,3642166888
"57.7","all","4 yr.","mnwk","no","4","Female","Logit","age_grp65-199",-3.29432825758478,0.0960695521336503,-34.2910754179614,1.06600405567724e-257,-0.688567034755381,-2.23888189352421,3642166888
"57.8","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp1-3",0.694477811415439,0.0383956671471216,18.0874005588806,4.00539299748671e-73,NA,NA,3642166888
"57.9","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp4-6",1.39593137080796,0.0522619170083044,26.7102978749545,3.57375192115864e-157,NA,NA,3642166888
"57.10","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp7-9",1.76554993865964,0.0774243854944183,22.803538282999,4.22908477705671e-115,NA,NA,3642166888
"57.11","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp10-150",2.57027061031218,0.075179690002244,34.1883640413449,3.60072590289902e-256,NA,NA,3642166888
"57.12","all","4 yr.","mnwk","no","4","Female","Logit","month02",0.0912924960779132,0.0787517243825857,1.15924440758151,0.24635657492665,NA,NA,3642166888
"57.13","all","4 yr.","mnwk","no","4","Female","Logit","month03",0.166181037981139,0.0756144219154438,2.19774262331823,0.0279674522802078,NA,NA,3642166888
"57.14","all","4 yr.","mnwk","no","4","Female","Logit","month04",0.272773482938997,0.075403445593251,3.61752013840879,0.000297439194336441,NA,NA,3642166888
"57.15","all","4 yr.","mnwk","no","4","Female","Logit","month05",0.328344963990038,0.0737815744302136,4.45022983754032,8.5778439071823e-06,NA,NA,3642166888
